iter	Passed	Remaining
703	17314	7279
704	17330	7251
705	17348	7224
706	17368	7197
707	17385	7170
708	17405	7143
709	17422	7116
710	17441	7089
711	17457	7061
712	17475	7034
713	17495	7007
714	17517	6982
715	17536	6955
716	17550	6927
717	17566	6899
718	17583	6871
719	17600	6844
720	17618	6817
721	17637	6791
722	17653	6763
723	17673	6737
724	17691	6710
725	17710	6684
726	17728	6657
727	17747	6630
728	17764	6603
729	17785	6578
730	17803	6551
731	17822	6525
732	17878	6512
733	17900	6486
734	17918	6460
735	17936	6433
736	17954	6407
737	17971	6380
738	17991	6354
739	18010	6328
740	18035	6303
741	18055	6278
742	18073	6251
743	18092	6225
744	18109	6198
745	18127	6172
746	18143	6144
747	18160	6118
748	18178	6091
749	18198	6066
750	18215	6039
751	18233	6013
752	18252	5987
753	18269	5960
754	18289	5935
755	18306	5908
756	18325	5882
757	18347	5857
758	18368	5832
759	18392	5808
760	18410	5781
761	18430	5756
762	18450	5730
763	18467	5704
764	18487	5679
765	18507	5653
766	18524	5627
767	18544	5601
768	18562	5576
769	18580	5550
770	18598	5524
771	18616	5498
772	18638	5473
773	18656	5447
774	18674	5421
775	18694	5396
776	18711	5370
777	18727	5343
778	18745	5318
779	18760	5291
780	18779	5266
781	18798	5240
782	18815	5214
783	18834	5189
784	18853	5163
785	18872	5138
786	18892	5113
787	18908	5087
788	18930	5062
789	18947	5036
790	18968	5011
791	18987	4986
792	19003	4960
793	19024	4935
794	19041	4910
795	19060	4884
796	19082	4860
797	19101	4835
798	19116	4809
799	19133	4783
800	19149	4757
801	19167	4732
802	19189	4707
803	19283	4700
804	19413	4702
805	19507	4695
806	19559	4677
807	19574	4651
808	19592	4625
809	19606	4599
810	19625	4573
811	19640	4547
812	19655	4520
813	19672	4495
814	19686	4468
815	19708	4443
816	19727	4418
817	19748	4393
818	19769	4369
819	19784	4343
820	19801	4317
821	19819	4291
822	19834	4265
823	19851	4240
824	19870	4214
825	19886	4189
826	19905	4164
827	19921	4138
828	19940	4113
829	19956	4087
830	19974	4062
831	19991	4036
832	20008	4011
833	20026	3985
834	20044	3960
835	20062	3935
836	20077	3910
837	20096	3884
838	20112	3859
839	20129	3834
840	20144	3808
841	20159	3782
842	20177	3757
843	20192	3732
844	20238	3712
845	20255	3687
846	20271	3661
847	20288	3636
848	20304	3611
849	20319	3585
850	20333	3560
851	20352	3535
852	20372	3510
853	20392	3486
854	20411	3461
855	20431	3437
856	20445	3411
857	20461	3386
858	20480	3361
859	20500	3337
860	20517	3312
861	20535	3287
862	20549	3262
863	20566	3237
864	20580	3211
865	20602	3187
866	20619	3163
867	20636	3138
868	20652	3113
869	20665	3088
870	20681	3063
871	20698	3038
872	20714	3013
873	20734	2989
874	20751	2964
875	20766	2939
876	20783	2914
877	20798	2889
878	20812	2865
879	20830	2840
880	20847	2815
881	20863	2791
882	20881	2766
883	20899	2742
884	20915	2717
885	20929	2692
886	20946	2668
887	20960	2643
888	20981	2619
889	20996	2595
890	21017	2571
891	21035	2546
892	21050	2522
893	21073	2498
894	21102	2475
895	21126	2452
896	21144	2427
897	21158	2403
898	21174	2378
899	21192	2354
900	21208	2330
901	21224	2305
902	21239	2281
903	21254	2257
904	21269	2232
905	21284	2208
